
> web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.18.9:3001
- Environments: .env.local
✓ Ready in 678ms
Creating turbopack project {
  dir: 'D:\\My Work\\hrm-dijipeople\\DijiPeople\\dijipeople\\apps\\web',
  testMode: true
}

 GET /login?next=%2Fdashboard%2Fonboarding 200 in 294ms (next.js: 58ms, proxy.ts: 16ms, application-code: 220ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 331ms (next.js: 19ms, proxy.ts: 100ms, application-code: 212ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 293ms (next.js: 50ms, proxy.ts: 63ms, application-code: 179ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 332ms (next.js: 13ms, proxy.ts: 94ms, application-code: 225ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 349ms (next.js: 13ms, proxy.ts: 57ms, application-code: 280ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 304ms (next.js: 14ms, proxy.ts: 18ms, application-code: 272ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 339ms (next.js: 61ms, proxy.ts: 15ms, application-code: 263ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 335ms (next.js: 19ms, proxy.ts: 94ms, application-code: 221ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 295ms (next.js: 51ms, proxy.ts: 58ms, application-code: 186ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 338ms (next.js: 11ms, proxy.ts: 108ms, application-code: 219ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 308ms (next.js: 8ms, proxy.ts: 12ms, application-code: 288ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 316ms (next.js: 14ms, proxy.ts: 17ms, application-code: 284ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 349ms (next.js: 53ms, proxy.ts: 17ms, application-code: 279ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 351ms (next.js: 67ms, proxy.ts: 53ms, application-code: 232ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 353ms (next.js: 69ms, proxy.ts: 99ms, application-code: 185ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 344ms (next.js: 14ms, proxy.ts: 106ms, application-code: 224ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 358ms (next.js: 7ms, proxy.ts: 61ms, application-code: 289ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 312ms (next.js: 16ms, proxy.ts: 14ms, application-code: 283ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 311ms (next.js: 59ms, proxy.ts: 14ms, application-code: 238ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 351ms (next.js: 62ms, proxy.ts: 55ms, application-code: 235ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 315ms (next.js: 63ms, proxy.ts: 59ms, application-code: 192ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 351ms (next.js: 12ms, proxy.ts: 113ms, application-code: 226ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 337ms (next.js: 14ms, proxy.ts: 54ms, application-code: 269ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 335ms (next.js: 15ms, proxy.ts: 56ms, application-code: 264ms)
 GET /login?next=%2Fdashboard%2Fonboarding 200 in 329ms (next.js: 57ms, proxy.ts: 16ms, application-code: 257ms)
